mix_id,flow_id,size,slowdown,sim
0,2,1581,1.004547630445189,Ns3
0,6,517,1.0041322314049588,Ns3
0,0,1505,1.0036617262423715,Ns3
0,9,511,1.0041465100207325,Ns3
0,4,1629,1.0037168294580343,Ns3
0,13,71,1.0054794520547945,Ns3
0,8,2040,1.0040214477211795,Ns3
0,17,1720,1.0041958041958041,Ns3
0,10,533,1.0047814207650274,Ns3
0,15,146,1.0051948051948052,Ns3
0,16,1266,1.00407787424362,Ns3
0,21,144,1.0060711188204683,Ns3
0,23,1036,1.0050774986638162,Ns3
0,7,9954,1.0049101602546808,Ns3
0,25,148,1.0060553633217992,Ns3
0,12,3886,1.004089219330855,Ns3
0,18,1045,1.003783102143758,Ns3
0,20,1707,1.0036970165935861,Ns3
0,26,928,1.0547752808988764,Ns3
0,28,1807,1.0043587978894242,Ns3
0,31,144,1.0060711188204683,Ns3
0,29,2272,1.0052421891381842,Ns3
0,22,8809,1.0048353148643268,Ns3
0,27,1307,1.003801609053134,Ns3
0,37,2236,1.0052742616033756,Ns3
0,35,710,1.00373599003736,Ns3
0,41,1960,1.0040160642570282,Ns3
0,33,550,1.0040595399188093,Ns3
0,11,15912,1.27861605814596,Ns3
0,36,160,1.0051457975986278,Ns3
0,30,1306,1.0038019451812554,Ns3
0,32,2086,1.0040928833945875,Ns3
0,38,576,1.0040026684456305,Ns3
0,42,150,1.005181347150259,Ns3
0,45,1255,1.004594180704441,Ns3
0,46,1508,1.004611650485437,Ns3
0,53,542,1.0040760869565217,Ns3
0,51,2825,1.0046047582501918,Ns3
0,55,1052,1.0050599201065247,Ns3
0,58,830,1.0035252643948296,Ns3
0,56,1953,1.0042448614834674,Ns3
0,49,284,1.009090909090909,Ns3
0,47,2011,1.0041134989926126,Ns3
0,3,51395,1.0426964480103214,Ns3
0,48,2537,1.1134354982567096,Ns3
0,40,15368,1.083075813761846,Ns3
0,57,1909,1.0036462308148901,Ns3
0,59,1653,1.0037107352433552,Ns3
0,64,300,1.0046948356807512,Ns3
0,67,2861,1.0047709923664123,Ns3
0,60,883,1.00401376146789,Ns3
0,70,1321,1.004785894206549,Ns3
0,65,5823,1.0048245614035087,Ns3
0,69,144,1.0060711188204683,Ns3
0,19,28988,1.4010498230961081,Ns3
0,76,300,1.0046948356807512,Ns3
0,74,675,1.0038022813688212,Ns3
0,75,2167,1.0053361792956244,Ns3
0,52,31451,1.0068118025604162,Ns3
0,78,486,1.0042046250875964,Ns3
0,73,1107,1.0038561563985293,Ns3
0,80,148,1.0060553633217992,Ns3
0,85,1901,1.0042850699142987,Ns3
0,82,144,1.0060711188204683,Ns3
0,77,5148,1.0046092460099065,Ns3
0,81,2984,1.0041042706600112,Ns3
0,79,2895,1.0038034865293186,Ns3
0,89,1948,1.0042486583184258,Ns3
0,83,2933,1.0076679841897234,Ns3
0,66,24624,1.265280975388307,Ns3
0,93,804,1.0041641879833432,Ns3
0,88,2942,1.0038713755234259,Ns3
0,91,293,1.005503144654088,Ns3
0,94,302,1.0046875,Ns3
0,92,147,1.0164359861591696,Ns3
0,90,1416,1.0037725916827513,Ns3
0,95,1462,1.0046534410972325,Ns3
0,84,15299,1.0367233097463975,Ns3
0,98,3198,1.0055875991348233,Ns3
0,100,300,1.0046948356807512,Ns3
0,97,2114,1.0080867027928304,Ns3
0,99,1473,1.0037574274729115,Ns3
0,101,9793,1.0060622511762576,Ns3
0,104,2369,1.0351988736360436,Ns3
0,107,146,1.0051948051948052,Ns3
0,109,770,1.003627569528416,Ns3
0,111,1928,1.0038121003443188,Ns3
0,117,287,1.1344637223974763,Ns3
0,116,296,1.130392156862745,Ns3
0,110,845,1.0796382730455076,Ns3
0,113,2535,1.0041589648798521,Ns3
0,123,300,1.0046948356807512,Ns3
0,122,1319,1.0047871000251953,Ns3
0,105,7839,1.3362958544586938,Ns3
0,124,1695,1.015456674473068,Ns3
0,127,148,1.0060553633217992,Ns3
0,119,1377,1.003782880267441,Ns3
0,129,1362,1.0047464401698727,Ns3
0,126,145,1.0957538994800693,Ns3
0,121,1560,1.003647733194372,Ns3
0,128,146,1.0051948051948052,Ns3
0,134,144,1.0060711188204683,Ns3
0,130,302,1.0796875,Ns3
0,125,3884,1.0112276005650978,Ns3
0,137,1257,1.0048481755549885,Ns3
0,108,16684,1.2897903485919862,Ns3
0,139,759,1.004255319148936,Ns3
0,131,1345,1.0037030506083584,Ns3
0,138,549,1.004739336492891,Ns3
0,34,122762,1.007046849727112,Ns3
0,120,25625,1.006659541231604,Ns3
0,140,1453,1.003998968008256,Ns3
0,114,15939,1.2763174657097967,Ns3
0,136,3718,1.2815352697095437,Ns3
0,141,559,1.0047138047138047,Ns3
0,1,98851,1.5051595150055894,Ns3
0,24,83341,1.495590476428411,Ns3
0,146,72,1.0054744525547445,Ns3
0,144,292,1.0047169811320755,Ns3
0,135,14444,1.0064826572211454,Ns3
0,142,681,1.098757633185934,Ns3
0,149,655,1.0038412291933418,Ns3
0,150,455,1.0042796005706134,Ns3
0,145,1378,1.0040301612064482,Ns3
0,151,295,1.1138147566718994,Ns3
0,154,1607,1.0159561800428674,Ns3
0,155,1359,1.0047488127968007,Ns3
0,157,923,1.0039414414414414,Ns3
0,147,650,1.0038510911424903,Ns3
0,152,118,1.006183745583039,Ns3
0,148,2039,1.0060326770004189,Ns3
0,153,2280,1.0864940633245384,Ns3
0,156,1950,1.0035514967021817,Ns3
