sweep,formatted
10000_1,283.417 ms
10000_12,204.917 ms
10000_16,204.834 ms
10000_2,243.930 ms
10000_4,210.746 ms
10000_8,205.315 ms
1000_1,278.624 ms
1000_12,200.132 ms
1000_16,200.042 ms
1000_2,239.137 ms
1000_4,206.879 ms
1000_8,200.557 ms
100_1,98.912 ms
100_12,23.711 ms
100_16,22.190 ms
100_2,59.425 ms
100_4,34.405 ms
100_8,26.460 ms
200_1,118.880 ms
200_12,42.334 ms
200_16,41.067 ms
200_2,79.393 ms
200_4,54.474 ms
200_8,45.254 ms
250_1,128.864 ms
250_12,51.677 ms
250_16,50.667 ms
250_2,89.377 ms
250_4,64.021 ms
250_8,54.610 ms
300_1,138.848 ms
300_12,61.341 ms
300_16,60.460 ms
300_2,99.361 ms
300_4,73.485 ms
300_8,64.203 ms
400_1,158.816 ms
400_12,80.773 ms
400_16,80.296 ms
400_2,119.329 ms
400_4,92.470 ms
400_8,82.893 ms
500_1,178.784 ms
500_12,100.604 ms
500_16,100.244 ms
500_2,139.297 ms
500_4,111.535 ms
500_8,102.497 ms
650_1,208.736 ms
650_12,130.284 ms
650_16,130.161 ms
650_2,169.249 ms
650_4,139.471 ms
650_8,131.449 ms
750_1,228.704 ms
750_12,150.234 ms
750_16,150.122 ms
750_2,189.217 ms
750_4,159.230 ms
750_8,151.000 ms
900_1,258.656 ms
900_12,180.173 ms
900_16,180.074 ms
900_2,219.169 ms
900_4,187.617 ms
900_8,180.573 ms
