sweep,formatted
10000_1,463.009 ms
10000_12,406.135 ms
10000_16,403.642 ms
10000_2,423.419 ms
10000_4,408.905 ms
10000_8,407.004 ms
1000_1,453.829 ms
1000_12,396.577 ms
1000_16,394.203 ms
1000_2,414.182 ms
1000_4,400.086 ms
1000_8,397.661 ms
100_1,108.558 ms
100_12,41.769 ms
100_16,39.928 ms
100_2,70.517 ms
100_4,53.236 ms
100_8,44.568 ms
200_1,145.967 ms
200_12,79.694 ms
200_16,79.624 ms
200_2,109.228 ms
200_4,90.582 ms
200_8,82.059 ms
250_1,165.106 ms
250_12,100.045 ms
250_16,98.525 ms
250_2,128.028 ms
250_4,109.757 ms
250_8,100.477 ms
300_1,183.844 ms
300_12,118.837 ms
300_16,118.396 ms
300_2,147.646 ms
300_4,128.333 ms
300_8,120.669 ms
400_1,222.672 ms
400_12,159.009 ms
400_16,158.269 ms
400_2,184.877 ms
400_4,166.016 ms
400_8,159.656 ms
500_1,261.011 ms
500_12,198.509 ms
500_16,197.591 ms
500_2,222.383 ms
500_4,204.897 ms
500_8,199.954 ms
650_1,318.504 ms
650_12,257.217 ms
650_16,256.576 ms
650_2,280.219 ms
650_4,262.886 ms
650_8,257.506 ms
750_1,356.823 ms
750_12,297.052 ms
750_16,295.904 ms
750_2,316.420 ms
750_4,302.005 ms
750_8,298.157 ms
900_1,416.526 ms
900_12,356.765 ms
900_16,354.886 ms
900_2,374.297 ms
900_4,359.858 ms
900_8,358.483 ms
