sweep,time_in_milliseconds
10000_12,925.331135
10000_16,934.027295
10000_2,910.020468
10000_4,908.08609
10000_8,918.410345
1000_12,903.96596
1000_16,912.776381
1000_2,886.094658
1000_4,885.989249
1000_8,892.489985
100_12,90.346699
100_16,91.524002
100_2,90.985849
100_4,90.839105
100_8,91.554797
2000_12,923.449347
2000_16,935.31973
2000_2,908.036901
2000_4,907.919074
2000_8,914.970808
200_12,180.611256
200_16,182.444917
200_2,180.610053
200_4,180.7627
200_8,183.386327
250_12,226.045284
250_16,228.005813
250_2,223.203872
250_4,222.469685
250_8,225.059412
3000_12,925.255355
3000_16,932.847946
3000_2,907.79708
3000_4,908.225777
3000_8,915.89305
300_12,271.177212
300_16,274.11374
300_2,268.657921
300_4,268.910761
300_8,269.510984
4000_12,924.410619
4000_16,932.920602
4000_2,908.467001
4000_4,908.590323
4000_8,915.960018
400_12,360.194425
400_16,362.677244
400_2,356.254128
400_4,356.695715
400_8,358.544411
5000_12,925.397019
5000_16,933.434744
5000_2,908.861256
5000_4,908.965869
5000_8,915.738258
500_12,451.104902
500_16,456.637966
500_2,443.329679
500_4,443.300298
500_8,446.919924
6000_12,925.619013
6000_16,934.737924
6000_2,907.530727
6000_4,915.965543
6000_8,917.587662
650_12,586.376367
650_16,593.346184
650_2,579.190517
650_4,576.823569
650_8,580.410015
7000_12,924.375041
7000_16,934.367327
7000_2,910.947083
7000_4,907.561487
7000_8,917.041385
750_12,676.503464
750_16,685.047104
750_2,665.751649
750_4,664.934866
750_8,671.289628
8000_12,924.399353
8000_16,932.813321
8000_2,908.936625
8000_4,909.90052
8000_8,913.955428
9000_12,925.510485
9000_16,934.505297
9000_2,908.222976
9000_4,909.733008
9000_8,922.201948
900_12,811.976609
900_16,821.715993
900_2,797.688269
900_4,797.240155
900_8,803.747943
