sweep,time_ms
1000_12,182.303 
1000_16,137.549 
1000_2,1015.202 
1000_4,530.800 
1000_8,271.158 
100_12,18.749 
100_16,14.056 
100_2,109.130 
100_4,57.014 
100_8,28.337 
200_12,35.973 
200_16,27.001 
200_2,206.810 
200_4,107.787 
200_8,54.303 
250_12,44.930 
250_16,33.675 
250_2,255.122 
250_4,133.570 
250_8,67.397 
300_12,53.801 
300_16,40.297 
300_2,304.807 
300_4,159.640 
300_8,80.360 
400_12,71.771 
400_16,53.914 
400_2,404.123 
400_4,211.723 
400_8,107.117 
500_12,89.406 
500_16,67.489 
500_2,505.920 
500_4,264.315 
500_8,134.688 
650_12,117.059 
650_16,88.400 
650_2,659.256 
650_4,343.852 
650_8,175.590 
750_12,136.014 
750_16,101.573 
750_2,760.398 
750_4,397.236 
750_8,202.338 
900_12,163.327 
900_16,122.611 
900_2,911.541 
900_4,477.466 
900_8,243.303 
