sweep,formatted
10000_1,522.921 ms
10000_12,189.668 ms
10000_16,192.168 ms
10000_2,261.462 ms
10000_4,194.532 ms
10000_8,192.414 ms
1000_1,510.307 ms
1000_12,185.222 ms
1000_16,187.651 ms
1000_2,255.155 ms
1000_4,189.660 ms
1000_8,187.652 ms
100_1,60.560 ms
100_12,18.619 ms
100_16,18.822 ms
100_2,30.281 ms
100_4,21.278 ms
100_8,19.172 ms
200_1,109.794 ms
200_12,37.111 ms
200_16,37.565 ms
200_2,54.899 ms
200_4,39.604 ms
200_8,37.566 ms
250_1,135.518 ms
250_12,46.370 ms
250_16,46.962 ms
250_2,67.760 ms
250_4,49.337 ms
250_8,47.256 ms
300_1,161.241 ms
300_12,55.913 ms
300_16,56.510 ms
300_2,80.622 ms
300_4,59.102 ms
300_8,56.893 ms
400_1,210.475 ms
400_12,74.140 ms
400_16,75.100 ms
400_2,105.239 ms
400_4,77.461 ms
400_8,75.345 ms
500_1,259.710 ms
500_12,92.651 ms
500_16,93.843 ms
500_2,129.857 ms
500_4,95.723 ms
500_8,93.846 ms
650_1,334.668 ms
650_12,120.422 ms
650_16,121.976 ms
650_2,167.336 ms
650_4,123.609 ms
650_8,121.986 ms
750_1,386.114 ms
750_12,139.008 ms
750_16,140.768 ms
750_2,193.059 ms
750_4,143.278 ms
750_8,141.154 ms
900_1,461.072 ms
900_12,166.716 ms
900_16,168.908 ms
900_2,230.538 ms
900_4,171.337 ms
900_8,169.238 ms
