sweep,formatted
10000_1,742.239 ms
10000_12,737.186 ms
10000_16,741.713 ms
10000_2,739.928 ms
10000_4,741.635 ms
10000_8,741.913 ms
1000_1,725.189 ms
1000_12,719.734 ms
1000_16,724.170 ms
1000_2,722.300 ms
1000_4,719.761 ms
1000_8,724.244 ms
100_1,80.628 ms
100_12,72.305 ms
100_16,72.660 ms
100_2,74.165 ms
100_4,72.573 ms
100_8,72.854 ms
200_1,149.848 ms
200_12,144.149 ms
200_16,145.014 ms
200_2,145.289 ms
200_4,144.113 ms
200_8,144.951 ms
250_1,183.217 ms
250_12,180.235 ms
250_16,181.264 ms
250_2,181.492 ms
250_4,181.182 ms
250_8,181.462 ms
300_1,222.265 ms
300_12,216.245 ms
300_16,217.539 ms
300_2,217.546 ms
300_4,218.447 ms
300_8,217.704 ms
400_1,291.765 ms
400_12,288.169 ms
400_16,289.871 ms
400_2,289.289 ms
400_4,289.794 ms
400_8,290.073 ms
500_1,364.306 ms
500_12,359.941 ms
500_16,362.121 ms
500_2,361.084 ms
500_4,359.968 ms
500_8,362.122 ms
650_1,472.349 ms
650_12,467.893 ms
650_16,470.712 ms
650_2,469.617 ms
650_4,467.902 ms
650_8,470.857 ms
750_1,545.952 ms
750_12,540.030 ms
750_16,543.333 ms
750_2,542.089 ms
750_4,543.253 ms
750_8,543.529 ms
900_1,652.043 ms
900_12,647.962 ms
900_16,651.937 ms
900_2,649.611 ms
900_4,651.850 ms
900_8,652.131 ms
