id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6591611430616593,0.2723146939847312,1-to-1,0.10365850393043857,-0.12085002966619801,16515.0,1.0,10.842025307341636
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2876929699478417,0.11885259451670038,1-to-1,-0.0018975773068021567,-0.012978818752349587,18093.0,1.0,9.574255793033096
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.518592781711457,0.255199141067721,4-to-1,0.037490255419744024,-0.027721257318041467,19958.0,1.0,19.468997235371624
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7709129288939737,0.6500456006146497,1-to-1,0.2675857521608118,-0.08244835207479465,28648.0,1.0,16.416433351517888
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36424945734588,0.3060586524838771,1-to-1,0.0647215173866238,-0.04447346362851578,26735.0,1.0,9.985706847679083
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6166364382169393,0.4973821265629491,4-to-1,0.4196247809498581,-0.33129961616485204,6429.0,1.0,13.579162605950382
6,Matrix B,WebServer,1.0,0.6901726291402162,0.6980250363758499,0.5628282178238886,4-to-1,0.20259588534505527,-0.005958415329526908,23415.0,0.0,9.296544092236015
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7273665617621711,0.5849663040293989,1-to-1,0.10339507436746354,0.14469453740462407,17968.0,0.0,15.656935779456049
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.2617718317237643,0.16821283993102365,4-to-1,1.1889214380038817,0.03192235056382258,8406.0,1.0,15.751621803915059
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5565187674786835,0.3623877336782236,4-to-1,0.22970533755465708,-0.1418384610422695,27455.0,1.0,18.799794096452104
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.294553895043232,0.12746598855620228,2-to-1,-0.018646107435828004,-0.01933465971504281,19531.0,0.0,12.454037012200704
