sweep,formatted
10000_1,2.162 s
10000_2,1.109 s
10000_4,559.893 ms
1000_1,2.111 s
1000_2,1.084 s
1000_4,545.399 ms
100_1,227.224 ms
100_2,113.258 ms
100_4,55.892 ms
200_1,430.502 ms
200_2,216.831 ms
200_4,107.709 ms
250_1,532.639 ms
250_2,269.254 ms
250_4,133.841 ms
300_1,635.989 ms
300_2,321.705 ms
300_4,160.495 ms
400_1,844.592 ms
400_2,427.906 ms
400_4,214.154 ms
500_1,1.054 s
500_2,535.419 ms
500_4,268.488 ms
650_1,1.369 s
650_2,698.758 ms
650_4,350.460 ms
750_1,1.581 s
750_2,807.825 ms
750_4,405.748 ms
900_1,1.898 s
900_2,973.231 ms
900_4,489.314 ms
