RDMA MTP: Optimizing for 256 threads
[client req_send] t=0 ns reqId=1000001 size=17B client_node_id=1
[client req_send] t=0 ns reqId=2000001 size=17B client_node_id=2
[client req_send] t=0 ns reqId=3000001 size=17B client_node_id=3
[client req_send] t=0 ns reqId=4000001 size=17B client_node_id=4
[client req_send] t=0 ns reqId=5000001 size=17B client_node_id=5
[client req_send] t=0 ns reqId=6000001 size=17B client_node_id=6
[client req_send] t=0 ns reqId=7000001 size=17B client_node_id=7
[client req_send] t=0 ns reqId=8000001 size=17B client_node_id=8
[client req_send] t=0 ns reqId=9000001 size=17B client_node_id=9
[client req_send] t=0 ns reqId=10000001 size=17B client_node_id=10
[client req_send] t=0 ns reqId=11000001 size=17B client_node_id=11
[server req_recv] t=2012 ns reqId=4000001 size=17B client_node_id=4
[server resp_send] t=2013 ns reqId=4000001 size=41B client_node_id=4
[client req_send] t=2500 ns reqId=1000002 size=17B client_node_id=1
[client req_send] t=2500 ns reqId=2000002 size=17B client_node_id=2
[client req_send] t=2500 ns reqId=3000002 size=17B client_node_id=3
[client req_send] t=2500 ns reqId=4000002 size=17B client_node_id=4
[client req_send] t=2500 ns reqId=5000002 size=17B client_node_id=5
[client req_send] t=2500 ns reqId=6000002 size=17B client_node_id=6
[client req_send] t=2500 ns reqId=7000002 size=17B client_node_id=7
[client req_send] t=2500 ns reqId=8000002 size=17B client_node_id=8
[client req_send] t=2500 ns reqId=9000002 size=17B client_node_id=9
[client req_send] t=2500 ns reqId=10000002 size=17B client_node_id=10
[client req_send] t=2500 ns reqId=11000002 size=17B client_node_id=11
[server req_recv] t=4024 ns reqId=1000001 size=17B client_node_id=1
[server resp_send] t=4025 ns reqId=1000001 size=41B client_node_id=1
[server req_recv] t=4030 ns reqId=2000001 size=17B client_node_id=2
[server resp_send] t=4031 ns reqId=2000001 size=41B client_node_id=2
[client resp_recv] t=4034 ns reqId=4000001 size=41B client_node_id=4
[client hand_send] t=4034 ns reqId=4000001 size=10B client_node_id=4
[server req_recv] t=4036 ns reqId=5000001 size=17B client_node_id=5
[server resp_send] t=4037 ns reqId=5000001 size=41B client_node_id=5
[server req_recv] t=4042 ns reqId=3000001 size=17B client_node_id=3
[server resp_send] t=4043 ns reqId=3000001 size=41B client_node_id=3
[server req_recv] t=4512 ns reqId=4000002 size=17B client_node_id=4
[server resp_send] t=4513 ns reqId=4000002 size=41B client_node_id=4
[client req_send] t=5000 ns reqId=1000003 size=17B client_node_id=1
[client req_send] t=5000 ns reqId=2000003 size=17B client_node_id=2
[client req_send] t=5000 ns reqId=3000003 size=17B client_node_id=3
[client req_send] t=5000 ns reqId=4000003 size=17B client_node_id=4
[client req_send] t=5000 ns reqId=5000003 size=17B client_node_id=5
[client req_send] t=5000 ns reqId=6000003 size=17B client_node_id=6
[client req_send] t=5000 ns reqId=7000003 size=17B client_node_id=7
[client req_send] t=5000 ns reqId=8000003 size=17B client_node_id=8
[client req_send] t=5000 ns reqId=9000003 size=17B client_node_id=9
[client req_send] t=5000 ns reqId=10000003 size=17B client_node_id=10
[client req_send] t=5000 ns reqId=11000003 size=17B client_node_id=11
[server req_recv] t=6036 ns reqId=6000001 size=17B client_node_id=6
[server resp_send] t=6037 ns reqId=6000001 size=41B client_node_id=6
[server req_recv] t=6042 ns reqId=8000001 size=17B client_node_id=8
[server resp_send] t=6043 ns reqId=8000001 size=41B client_node_id=8
[server req_recv] t=6054 ns reqId=10000001 size=17B client_node_id=10
[server resp_send] t=6055 ns reqId=10000001 size=41B client_node_id=10
[server hand_recv] t=6059 ns reqId=4000001 size=10B client_node_id=4
[server rdma_send] t=6060 ns reqId=4000001 size=665608B client_node_id=4
[server req_recv] t=6065 ns reqId=7000001 size=17B client_node_id=7
[server resp_send] t=6066 ns reqId=7000001 size=41B client_node_id=7
[server req_recv] t=6071 ns reqId=9000001 size=17B client_node_id=9
[server resp_send] t=6072 ns reqId=9000001 size=41B client_node_id=9
[server req_recv] t=6077 ns reqId=11000001 size=17B client_node_id=11
[server resp_send] t=6078 ns reqId=11000001 size=41B client_node_id=11
[server req_recv] t=6524 ns reqId=1000002 size=17B client_node_id=1
[server resp_send] t=6525 ns reqId=1000002 size=41B client_node_id=1
[server req_recv] t=6530 ns reqId=2000002 size=17B client_node_id=2
[server resp_send] t=6531 ns reqId=2000002 size=41B client_node_id=2
[client resp_recv] t=6534 ns reqId=4000002 size=41B client_node_id=4
[client hand_send] t=6534 ns reqId=4000002 size=10B client_node_id=4
[server req_recv] t=6536 ns reqId=5000002 size=17B client_node_id=5
[server resp_send] t=6537 ns reqId=5000002 size=41B client_node_id=5
[server req_recv] t=6542 ns reqId=3000002 size=17B client_node_id=3
[server resp_send] t=6543 ns reqId=3000002 size=41B client_node_id=3
[server req_recv] t=7012 ns reqId=4000003 size=17B client_node_id=4
[server resp_send] t=7013 ns reqId=4000003 size=41B client_node_id=4
[client req_send] t=7500 ns reqId=1000004 size=17B client_node_id=1
[client req_send] t=7500 ns reqId=2000004 size=17B client_node_id=2
[client req_send] t=7500 ns reqId=3000004 size=17B client_node_id=3
[client req_send] t=7500 ns reqId=4000004 size=17B client_node_id=4
[client req_send] t=7500 ns reqId=5000004 size=17B client_node_id=5
[client req_send] t=7500 ns reqId=6000004 size=17B client_node_id=6
[client req_send] t=7500 ns reqId=7000004 size=17B client_node_id=7
[client req_send] t=7500 ns reqId=8000004 size=17B client_node_id=8
[client req_send] t=7500 ns reqId=9000004 size=17B client_node_id=9
[client req_send] t=7500 ns reqId=10000004 size=17B client_node_id=10
[client req_send] t=7500 ns reqId=11000004 size=17B client_node_id=11
[client resp_recv] t=8080 ns reqId=1000001 size=41B client_node_id=1
[client hand_send] t=8080 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=8088 ns reqId=2000001 size=41B client_node_id=2
[client hand_send] t=8088 ns reqId=2000001 size=10B client_node_id=2
[client resp_recv] t=8096 ns reqId=5000001 size=41B client_node_id=5
[client hand_send] t=8096 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=8104 ns reqId=3000001 size=41B client_node_id=3
[client hand_send] t=8104 ns reqId=3000001 size=10B client_node_id=3
[server req_recv] t=8536 ns reqId=6000002 size=17B client_node_id=6
[server resp_send] t=8537 ns reqId=6000002 size=41B client_node_id=6
[server req_recv] t=8542 ns reqId=8000002 size=17B client_node_id=8
[server resp_send] t=8543 ns reqId=8000002 size=41B client_node_id=8
[server req_recv] t=8554 ns reqId=10000002 size=17B client_node_id=10
[server resp_send] t=8555 ns reqId=10000002 size=41B client_node_id=10
[server hand_recv] t=8559 ns reqId=4000002 size=10B client_node_id=4
[server rdma_send] t=8560 ns reqId=4000002 size=665608B client_node_id=4
[server req_recv] t=8565 ns reqId=7000002 size=17B client_node_id=7
[server resp_send] t=8566 ns reqId=7000002 size=41B client_node_id=7
[server req_recv] t=8571 ns reqId=9000002 size=17B client_node_id=9
[server resp_send] t=8572 ns reqId=9000002 size=41B client_node_id=9
[server req_recv] t=8577 ns reqId=11000002 size=17B client_node_id=11
[server resp_send] t=8578 ns reqId=11000002 size=41B client_node_id=11
[server req_recv] t=9024 ns reqId=1000003 size=17B client_node_id=1
[server resp_send] t=9025 ns reqId=1000003 size=41B client_node_id=1
[server req_recv] t=9030 ns reqId=2000003 size=17B client_node_id=2
[server resp_send] t=9031 ns reqId=2000003 size=41B client_node_id=2
[server req_recv] t=9036 ns reqId=5000003 size=17B client_node_id=5
[server resp_send] t=9037 ns reqId=5000003 size=41B client_node_id=5
[server req_recv] t=9042 ns reqId=3000003 size=17B client_node_id=3
[server resp_send] t=9043 ns reqId=3000003 size=41B client_node_id=3
[server req_recv] t=9512 ns reqId=4000004 size=17B client_node_id=4
[server resp_send] t=9513 ns reqId=4000004 size=41B client_node_id=4
[client resp_recv] t=9924 ns reqId=4000003 size=41B client_node_id=4
[client hand_send] t=9924 ns reqId=4000003 size=10B client_node_id=4
[client req_send] t=10000 ns reqId=1000005 size=17B client_node_id=1
[client req_send] t=10000 ns reqId=2000005 size=17B client_node_id=2
[client req_send] t=10000 ns reqId=3000005 size=17B client_node_id=3
[client req_send] t=10000 ns reqId=4000005 size=17B client_node_id=4
[client req_send] t=10000 ns reqId=5000005 size=17B client_node_id=5
[client req_send] t=10000 ns reqId=6000005 size=17B client_node_id=6
[client req_send] t=10000 ns reqId=7000005 size=17B client_node_id=7
[client req_send] t=10000 ns reqId=8000005 size=17B client_node_id=8
[client req_send] t=10000 ns reqId=9000005 size=17B client_node_id=9
[client req_send] t=10000 ns reqId=10000005 size=17B client_node_id=10
[client req_send] t=10000 ns reqId=11000005 size=17B client_node_id=11
[server req_recv] t=11036 ns reqId=6000003 size=17B client_node_id=6
[server resp_send] t=11037 ns reqId=6000003 size=41B client_node_id=6
[server req_recv] t=11042 ns reqId=8000003 size=17B client_node_id=8
[server resp_send] t=11043 ns reqId=8000003 size=41B client_node_id=8
[server req_recv] t=11048 ns reqId=10000003 size=17B client_node_id=10
[server resp_send] t=11049 ns reqId=10000003 size=41B client_node_id=10
[server req_recv] t=11054 ns reqId=7000003 size=17B client_node_id=7
[server resp_send] t=11055 ns reqId=7000003 size=41B client_node_id=7
[server req_recv] t=11060 ns reqId=9000003 size=17B client_node_id=9
[server resp_send] t=11061 ns reqId=9000003 size=41B client_node_id=9
[server req_recv] t=11066 ns reqId=11000003 size=17B client_node_id=11
[server resp_send] t=11067 ns reqId=11000003 size=41B client_node_id=11
[client resp_recv] t=11092 ns reqId=1000002 size=41B client_node_id=1
[client hand_send] t=11092 ns reqId=1000002 size=10B client_node_id=1
[client resp_recv] t=11100 ns reqId=2000002 size=41B client_node_id=2
[client hand_send] t=11100 ns reqId=2000002 size=10B client_node_id=2
[client resp_recv] t=11108 ns reqId=5000002 size=41B client_node_id=5
[client hand_send] t=11108 ns reqId=5000002 size=10B client_node_id=5
[client resp_recv] t=11116 ns reqId=3000002 size=41B client_node_id=3
[client hand_send] t=11116 ns reqId=3000002 size=10B client_node_id=3
[server req_recv] t=11524 ns reqId=1000004 size=17B client_node_id=1
[server resp_send] t=11525 ns reqId=1000004 size=41B client_node_id=1
[server req_recv] t=11530 ns reqId=2000004 size=17B client_node_id=2
[server resp_send] t=11531 ns reqId=2000004 size=41B client_node_id=2
[server req_recv] t=11536 ns reqId=5000004 size=17B client_node_id=5
[server resp_send] t=11537 ns reqId=5000004 size=41B client_node_id=5
[server req_recv] t=11542 ns reqId=3000004 size=17B client_node_id=3
[server resp_send] t=11543 ns reqId=3000004 size=41B client_node_id=3
[server hand_recv] t=11941 ns reqId=4000003 size=10B client_node_id=4
[server rdma_send] t=11942 ns reqId=4000003 size=665608B client_node_id=4
[server req_recv] t=12012 ns reqId=4000005 size=17B client_node_id=4
[server resp_send] t=12013 ns reqId=4000005 size=41B client_node_id=4
[client resp_recv] t=12096 ns reqId=6000001 size=41B client_node_id=6
[client hand_send] t=12096 ns reqId=6000001 size=10B client_node_id=6
[server hand_recv] t=12109 ns reqId=1000001 size=10B client_node_id=1
[server rdma_send] t=12110 ns reqId=1000001 size=665608B client_node_id=1
[server hand_recv] t=12120 ns reqId=2000001 size=10B client_node_id=2
[server rdma_send] t=12121 ns reqId=2000001 size=665608B client_node_id=2
[server hand_recv] t=12131 ns reqId=5000001 size=10B client_node_id=5
[server rdma_send] t=12132 ns reqId=5000001 size=665608B client_node_id=5
[client resp_recv] t=12134 ns reqId=8000001 size=41B client_node_id=8
[client hand_send] t=12134 ns reqId=8000001 size=10B client_node_id=8
[client resp_recv] t=12142 ns reqId=10000001 size=41B client_node_id=10
[client hand_send] t=12142 ns reqId=10000001 size=10B client_node_id=10
[server hand_recv] t=12142 ns reqId=3000001 size=10B client_node_id=3
[server rdma_send] t=12143 ns reqId=3000001 size=665608B client_node_id=3
[client resp_recv] t=12416 ns reqId=4000004 size=41B client_node_id=4
[client hand_send] t=12416 ns reqId=4000004 size=10B client_node_id=4
[client req_send] t=12500 ns reqId=1000006 size=17B client_node_id=1
[client req_send] t=12500 ns reqId=2000006 size=17B client_node_id=2
[client req_send] t=12500 ns reqId=3000006 size=17B client_node_id=3
[client req_send] t=12500 ns reqId=4000006 size=17B client_node_id=4
[client req_send] t=12500 ns reqId=5000006 size=17B client_node_id=5
[client req_send] t=12500 ns reqId=6000006 size=17B client_node_id=6
