RDMA MTP: Optimizing for 256 threads
[client req_send] t=0 ns reqId=1000001 size=17B client_node_id=1
[client req_send] t=0 ns reqId=2000001 size=17B client_node_id=2
[client req_send] t=0 ns reqId=3000001 size=17B client_node_id=3
[client req_send] t=0 ns reqId=4000001 size=17B client_node_id=4
[client req_send] t=0 ns reqId=5000001 size=17B client_node_id=5
[client req_send] t=0 ns reqId=6000001 size=17B client_node_id=6
[client req_send] t=0 ns reqId=7000001 size=17B client_node_id=7
[client req_send] t=0 ns reqId=8000001 size=17B client_node_id=8
[client req_send] t=0 ns reqId=9000001 size=17B client_node_id=9
[client req_send] t=0 ns reqId=10000001 size=17B client_node_id=10
[client req_send] t=0 ns reqId=11000001 size=17B client_node_id=11
[server req_recv] t=1104 ns reqId=4000001 size=17B client_node_id=4
[server req_recv] t=2208 ns reqId=1000001 size=17B client_node_id=1
[server req_recv] t=2260 ns reqId=2000001 size=17B client_node_id=2
[server req_recv] t=2312 ns reqId=5000001 size=17B client_node_id=5
[server req_recv] t=2364 ns reqId=3000001 size=17B client_node_id=3
[server req_recv] t=3312 ns reqId=6000001 size=17B client_node_id=6
[server req_recv] t=3364 ns reqId=8000001 size=17B client_node_id=8
[server req_recv] t=3416 ns reqId=10000001 size=17B client_node_id=10
[server req_recv] t=3468 ns reqId=7000001 size=17B client_node_id=7
[server req_recv] t=3520 ns reqId=9000001 size=17B client_node_id=9
[server req_recv] t=3572 ns reqId=11000001 size=17B client_node_id=11
[server resp_send] t=250001104 ns reqId=4000001 size=41B client_node_id=4
[server resp_send] t=250002208 ns reqId=1000001 size=41B client_node_id=1
[client resp_recv] t=250002246 ns reqId=4000001 size=41B client_node_id=4
[client hand_send] t=250002246 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=250002260 ns reqId=2000001 size=41B client_node_id=2
[server resp_send] t=250002312 ns reqId=5000001 size=41B client_node_id=5
[server resp_send] t=250002364 ns reqId=3000001 size=41B client_node_id=3
[server resp_send] t=250003312 ns reqId=6000001 size=41B client_node_id=6
[server resp_send] t=250003364 ns reqId=8000001 size=41B client_node_id=8
[server hand_recv] t=250003388 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=250003416 ns reqId=10000001 size=41B client_node_id=10
[server resp_send] t=250003468 ns reqId=7000001 size=41B client_node_id=7
[server resp_send] t=250003520 ns reqId=9000001 size=41B client_node_id=9
[server resp_send] t=250003572 ns reqId=11000001 size=41B client_node_id=11
[client resp_recv] t=250004492 ns reqId=1000001 size=41B client_node_id=1
[client hand_send] t=250004492 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=250004563 ns reqId=2000001 size=41B client_node_id=2
[client hand_send] t=250004563 ns reqId=2000001 size=10B client_node_id=2
[client resp_recv] t=250004634 ns reqId=5000001 size=41B client_node_id=5
[client hand_send] t=250004634 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=250004705 ns reqId=3000001 size=41B client_node_id=3
[client hand_send] t=250004705 ns reqId=3000001 size=10B client_node_id=3
[server hand_recv] t=250006730 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=250006738 ns reqId=6000001 size=41B client_node_id=6
[client hand_send] t=250006738 ns reqId=6000001 size=10B client_node_id=6
[client resp_recv] t=250006809 ns reqId=8000001 size=41B client_node_id=8
[client hand_send] t=250006809 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=250006824 ns reqId=2000001 size=10B client_node_id=2
[server hand_recv] t=250006918 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=250006928 ns reqId=10000001 size=41B client_node_id=10
[client hand_send] t=250006928 ns reqId=10000001 size=10B client_node_id=10
[client resp_recv] t=250006999 ns reqId=7000001 size=41B client_node_id=7
[client hand_send] t=250006999 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=250007012 ns reqId=3000001 size=10B client_node_id=3
[client resp_recv] t=250007070 ns reqId=9000001 size=41B client_node_id=9
[client hand_send] t=250007070 ns reqId=9000001 size=10B client_node_id=9
[client resp_recv] t=250007141 ns reqId=11000001 size=41B client_node_id=11
[client hand_send] t=250007141 ns reqId=11000001 size=10B client_node_id=11
[server hand_recv] t=250010072 ns reqId=6000001 size=10B client_node_id=6
[server hand_recv] t=250010166 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=250010262 ns reqId=10000001 size=10B client_node_id=10
[server hand_recv] t=250010356 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=250010450 ns reqId=9000001 size=10B client_node_id=9
[server hand_recv] t=250010544 ns reqId=11000001 size=10B client_node_id=11
[server rdma_send] t=250153388 ns reqId=4000001 size=204808B client_node_id=4
[server rdma_send] t=250156730 ns reqId=1000001 size=204808B client_node_id=1
[server rdma_send] t=250156824 ns reqId=2000001 size=204808B client_node_id=2
[server rdma_send] t=250156918 ns reqId=5000001 size=204808B client_node_id=5
[server rdma_send] t=250157012 ns reqId=3000001 size=204808B client_node_id=3
[server rdma_send] t=250160072 ns reqId=6000001 size=204808B client_node_id=6
[server rdma_send] t=250160166 ns reqId=8000001 size=204808B client_node_id=8
[server rdma_send] t=250160262 ns reqId=10000001 size=204808B client_node_id=10
[server rdma_send] t=250160356 ns reqId=7000001 size=204808B client_node_id=7
[server rdma_send] t=250160450 ns reqId=9000001 size=204808B client_node_id=9
[server rdma_send] t=250160544 ns reqId=11000001 size=204808B client_node_id=11
[client rdma_recv] t=251916952 ns reqId=4000001 size=204808B client_node_id=4
[client req_send] t=251919452 ns reqId=4000002 size=17B client_node_id=4
[server req_recv] t=251920556 ns reqId=4000002 size=17B client_node_id=4
[client rdma_recv] t=251934404 ns reqId=1000001 size=204808B client_node_id=1
[client req_send] t=251936904 ns reqId=1000002 size=17B client_node_id=1
[server req_recv] t=251939112 ns reqId=1000002 size=17B client_node_id=1
[client rdma_recv] t=251939888 ns reqId=2000001 size=204808B client_node_id=2
[client req_send] t=251942388 ns reqId=2000002 size=17B client_node_id=2
[server req_recv] t=251944596 ns reqId=2000002 size=17B client_node_id=2
[client rdma_recv] t=251945420 ns reqId=5000001 size=204808B client_node_id=5
[client req_send] t=251947920 ns reqId=5000002 size=17B client_node_id=5
[server req_recv] t=251950128 ns reqId=5000002 size=17B client_node_id=5
[client rdma_recv] t=251950904 ns reqId=3000001 size=204808B client_node_id=3
[client req_send] t=251953404 ns reqId=3000002 size=17B client_node_id=3
[server req_recv] t=251955612 ns reqId=3000002 size=17B client_node_id=3
[client rdma_recv] t=251968356 ns reqId=6000001 size=204808B client_node_id=6
[client req_send] t=251970856 ns reqId=6000002 size=17B client_node_id=6
[client rdma_recv] t=251973840 ns reqId=8000001 size=204808B client_node_id=8
[server req_recv] t=251974168 ns reqId=6000002 size=17B client_node_id=6
[client req_send] t=251976340 ns reqId=8000002 size=17B client_node_id=8
[client rdma_recv] t=251979372 ns reqId=10000001 size=204808B client_node_id=10
[server req_recv] t=251979652 ns reqId=8000002 size=17B client_node_id=8
[client req_send] t=251981872 ns reqId=10000002 size=17B client_node_id=10
[client rdma_recv] t=251984904 ns reqId=7000001 size=204808B client_node_id=7
[server req_recv] t=251985184 ns reqId=10000002 size=17B client_node_id=10
[client req_send] t=251987404 ns reqId=7000002 size=17B client_node_id=7
[client rdma_recv] t=251990436 ns reqId=9000001 size=204808B client_node_id=9
[server req_recv] t=251990716 ns reqId=7000002 size=17B client_node_id=7
[client req_send] t=251992936 ns reqId=9000002 size=17B client_node_id=9
[client rdma_recv] t=251995968 ns reqId=11000001 size=204808B client_node_id=11
[server req_recv] t=251996248 ns reqId=9000002 size=17B client_node_id=9
[client req_send] t=251998468 ns reqId=11000002 size=17B client_node_id=11
[server req_recv] t=252001780 ns reqId=11000002 size=17B client_node_id=11
[server resp_send] t=501920556 ns reqId=4000002 size=41B client_node_id=4
[client resp_recv] t=501921698 ns reqId=4000002 size=41B client_node_id=4
[client hand_send] t=501921698 ns reqId=4000002 size=10B client_node_id=4
[server hand_recv] t=501922840 ns reqId=4000002 size=10B client_node_id=4
[server resp_send] t=501939112 ns reqId=1000002 size=41B client_node_id=1
[client resp_recv] t=501941396 ns reqId=1000002 size=41B client_node_id=1
[client hand_send] t=501941396 ns reqId=1000002 size=10B client_node_id=1
[server hand_recv] t=501943634 ns reqId=1000002 size=10B client_node_id=1
[server resp_send] t=501944596 ns reqId=2000002 size=41B client_node_id=2
[client resp_recv] t=501946880 ns reqId=2000002 size=41B client_node_id=2
[client hand_send] t=501946880 ns reqId=2000002 size=10B client_node_id=2
[server hand_recv] t=501949118 ns reqId=2000002 size=10B client_node_id=2
[server resp_send] t=501950128 ns reqId=5000002 size=41B client_node_id=5
[client resp_recv] t=501952412 ns reqId=5000002 size=41B client_node_id=5
[client hand_send] t=501952412 ns reqId=5000002 size=10B client_node_id=5
[server hand_recv] t=501954650 ns reqId=5000002 size=10B client_node_id=5
[server resp_send] t=501955612 ns reqId=3000002 size=41B client_node_id=3
[client resp_recv] t=501957896 ns reqId=3000002 size=41B client_node_id=3
[client hand_send] t=501957896 ns reqId=3000002 size=10B client_node_id=3
[server hand_recv] t=501960134 ns reqId=3000002 size=10B client_node_id=3
[server resp_send] t=501974168 ns reqId=6000002 size=41B client_node_id=6
[client resp_recv] t=501977594 ns reqId=6000002 size=41B client_node_id=6
[client hand_send] t=501977594 ns reqId=6000002 size=10B client_node_id=6
[server resp_send] t=501979652 ns reqId=8000002 size=41B client_node_id=8
[server hand_recv] t=501980928 ns reqId=6000002 size=10B client_node_id=6
[client resp_recv] t=501983078 ns reqId=8000002 size=41B client_node_id=8
[client hand_send] t=501983078 ns reqId=8000002 size=10B client_node_id=8
[server resp_send] t=501985184 ns reqId=10000002 size=41B client_node_id=10
[server hand_recv] t=501986412 ns reqId=8000002 size=10B client_node_id=8
[client resp_recv] t=501988610 ns reqId=10000002 size=41B client_node_id=10
[client hand_send] t=501988610 ns reqId=10000002 size=10B client_node_id=10
[server resp_send] t=501990716 ns reqId=7000002 size=41B client_node_id=7
[server hand_recv] t=501991944 ns reqId=10000002 size=10B client_node_id=10
[client resp_recv] t=501994142 ns reqId=7000002 size=41B client_node_id=7
[client hand_send] t=501994142 ns reqId=7000002 size=10B client_node_id=7
[server resp_send] t=501996248 ns reqId=9000002 size=41B client_node_id=9
[server hand_recv] t=501997476 ns reqId=7000002 size=10B client_node_id=7
[client resp_recv] t=501999674 ns reqId=9000002 size=41B client_node_id=9
[client hand_send] t=501999674 ns reqId=9000002 size=10B client_node_id=9
[server resp_send] t=502001780 ns reqId=11000002 size=41B client_node_id=11
[server hand_recv] t=502003008 ns reqId=9000002 size=10B client_node_id=9
[client resp_recv] t=502005206 ns reqId=11000002 size=41B client_node_id=11
[client hand_send] t=502005206 ns reqId=11000002 size=10B client_node_id=11
[server hand_recv] t=502008540 ns reqId=11000002 size=10B client_node_id=11
[server rdma_send] t=502072840 ns reqId=4000002 size=204808B client_node_id=4
[server rdma_send] t=502093634 ns reqId=1000002 size=204808B client_node_id=1
[server rdma_send] t=502099118 ns reqId=2000002 size=204808B client_node_id=2
[server rdma_send] t=502104650 ns reqId=5000002 size=204808B client_node_id=5
[server rdma_send] t=502110134 ns reqId=3000002 size=204808B client_node_id=3
[server rdma_send] t=502130928 ns reqId=6000002 size=204808B client_node_id=6
[server rdma_send] t=502136412 ns reqId=8000002 size=204808B client_node_id=8
[server rdma_send] t=502141944 ns reqId=10000002 size=204808B client_node_id=10
[server rdma_send] t=502147476 ns reqId=7000002 size=204808B client_node_id=7
[server rdma_send] t=502153008 ns reqId=9000002 size=204808B client_node_id=9
[server rdma_send] t=502158540 ns reqId=11000002 size=204808B client_node_id=11
[client rdma_recv] t=503648216 ns reqId=4000002 size=204808B client_node_id=4
[client req_send] t=503650716 ns reqId=4000003 size=17B client_node_id=4
[server req_recv] t=503651820 ns reqId=4000003 size=17B client_node_id=4
[client rdma_recv] t=503812230 ns reqId=1000002 size=204808B client_node_id=1
[client req_send] t=503814730 ns reqId=1000003 size=17B client_node_id=1
[server req_recv] t=503816938 ns reqId=1000003 size=17B client_node_id=1
[client rdma_recv] t=503817714 ns reqId=2000002 size=204808B client_node_id=2
[client req_send] t=503820214 ns reqId=2000003 size=17B client_node_id=2
[server req_recv] t=503822422 ns reqId=2000003 size=17B client_node_id=2
