local,flowsim,ns3,m4
867213.0,30998.0,547874.0,356705.0
1998628.0,245708.0,551141.0,379919.0
1639988.0,150432.0,559899.0,342029.0
1217327.0,249427.0,554931.0,380245.0
2318965.0,238777.0,559993.0,362062.0
896569.0,249948.0,559993.0,379550.0
1790724.0,248948.0,549152.0,365680.0
1551190.0,255294.0,549152.0,378388.0
1907716.0,255040.0,528643.0,375318.0
1952120.0,245474.0,530219.0,377839.0
2426489.0,245422.0,527314.0,381487.0
2470021.0,254207.0,528890.0,378045.0
2438391.0,254193.0,527314.0,383864.0
1170328.0,245406.0,528890.0,378173.0
1405915.0,245407.0,527314.0,386726.0
2423734.0,254792.0,528890.0,351569.0
2561645.0,254832.0,527314.0,391051.0
2506571.0,249808.0,528890.0,347722.0
2566665.0,249950.0,527813.0,365602.0
2504406.0,249196.0,529389.0,346283.0
1442635.0,250528.0,526917.0,390127.0
1367633.0,244901.0,528493.0,350469.0
2099569.0,255979.0,526917.0,349868.0
2535164.0,168087.0,528493.0,354594.0
2538552.0,247551.0,526917.0,355090.0
2570462.0,28001.0,528493.0,344913.0
2604486.0,249420.0,526917.0,357727.0
2559702.0,205488.0,528493.0,342718.0
2575030.0,245339.0,526917.0,348532.0
2745163.0,241232.0,528493.0,352148.0
1511555.0,255412.0,526917.0,350614.0
1444818.0,254344.0,528493.0,351663.0
2019097.0,246781.0,526917.0,346484.0
1553314.0,246591.0,528493.0,349687.0
1720170.0,253911.0,537194.0,348791.0
1829538.0,253850.0,540347.0,346763.0
2432220.0,256715.0,547874.0,344617.0
2611289.0,256695.0,551141.0,349845.0
2537790.0,249520.0,559899.0,346603.0
1909219.0,249523.0,554931.0,349732.0
2795128.0,245933.0,559993.0,343641.0
231789.0,246008.0,559993.0,353554.0
2873085.0,245556.0,549152.0,350383.0
1369115.0,246303.0,549152.0,352155.0
2241830.0,253688.0,528643.0,354843.0
1660427.0,256497.0,530219.0,353807.0
1524820.0,226501.0,527314.0,345236.0
2026270.0,254498.0,528890.0,351388.0
2465463.0,30807.0,527314.0,344399.0
2559330.0,245107.0,528890.0,346739.0
2593145.0,145017.0,527314.0,345372.0
2503074.0,248619.0,528890.0,348282.0
2490540.0,237474.0,527314.0,353368.0
1527585.0,250577.0,528890.0,350009.0
1798519.0,249542.0,527813.0,349042.0
1791906.0,254010.0,529389.0,351088.0
2297034.0,253749.0,526917.0,357786.0
2521890.0,245788.0,528493.0,353374.0
2585029.0,245742.0,526917.0,356301.0
2681763.0,256204.0,528493.0,354074.0
2517892.0,256184.0,526917.0,344850.0
2462427.0,250670.0,528493.0,341575.0
1544257.0,250674.0,526917.0,349598.0
1893900.0,247245.0,528493.0,352201.0
1786395.0,247304.0,526917.0,345577.0
2423253.0,244540.0,528493.0,351241.0
2561665.0,244798.0,526917.0,347093.0
2620807.0,253621.0,528493.0,355723.0
2599397.0,256077.0,526917.0,345199.0
2709014.0,234013.0,528493.0,352164.0
1891896.0,255289.0,537194.0,350629.0
1488652.0,73079.0,540347.0,358286.0
1331493.0,245363.0,547874.0,353782.0
2466484.0,100439.0,551141.0,359682.0
2698815.0,253416.0,559899.0,350730.0
2545444.0,237760.0,554931.0,356959.0
1444397.0,245025.0,559993.0,353169.0
1300024.0,243518.0,559993.0,364710.0
2171105.0,252051.0,549152.0,345721.0
1553935.0,251726.0,549152.0,365969.0
1802546.0,247421.0,528643.0,346114.0
1610302.0,247361.0,530219.0,370802.0
232661.0,256253.0,527314.0,346695.0
2281143.0,256231.0,528890.0,377895.0
1408078.0,250950.0,527314.0,350561.0
1395565.0,250947.0,528890.0,380574.0
2019858.0,248463.0,527314.0,348572.0
1157313.0,248501.0,528890.0,384734.0
1289073.0,247431.0,527813.0,351010.0
1247084.0,247566.0,529389.0,387640.0
1221415.0,251132.0,526917.0,353997.0
1777609.0,252430.0,528493.0,380629.0
615727.0,245285.0,526917.0,352764.0
1539278.0,256204.0,528493.0,350334.0
232982.0,166369.0,526917.0,350093.0
2126711.0,247502.0,528493.0,345023.0
1328008.0,28001.0,526917.0,354545.0
1447092.0,250461.0,528493.0,345779.0
1746590.0,207835.0,526917.0,354563.0
2390220.0,244831.0,528493.0,357610.0
1418278.0,240702.0,526917.0,352992.0
1786807.0,253060.0,528493.0,346281.0
1644136.0,252177.0,526917.0,351387.0
1828045.0,245560.0,528493.0,359254.0
2208967.0,245398.0,526917.0,353365.0
865280.0,256543.0,528493.0,349886.0
1294173.0,256472.0,537194.0,352877.0
232049.0,253521.0,540347.0,349542.0
2071376.0,253520.0,547874.0,350283.0
912028.0,246482.0,551141.0,360881.0
1317107.0,246611.0,559899.0,355202.0
242059.0,251570.0,554931.0,346756.0
1992476.0,251861.0,559993.0,354578.0
1105085.0,243753.0,559993.0,356154.0
1342104.0,247534.0,549152.0,351850.0
277816.0,231050.0,549152.0,348795.0
1948904.0,254122.0,528643.0,351142.0
232350.0,41512.0,530219.0,348234.0
2225829.0,245593.0,527314.0,353987.0
2456566.0,132156.0,528890.0,358343.0
2407813.0,256473.0,527314.0,352672.0
2288077.0,243849.0,528890.0,348663.0
2301341.0,253393.0,527314.0,349492.0
743449.0,251986.0,528890.0,346742.0
1582950.0,246290.0,527813.0,346378.0
1715942.0,246153.0,529389.0,351713.0
1001969.0,248542.0,526917.0,353071.0
1716944.0,248504.0,528493.0,349005.0
2227431.0,250589.0,526917.0,348621.0
2340967.0,250587.0,528493.0,347570.0
1358064.0,253827.0,526917.0,353986.0
1285416.0,253835.0,528493.0,359546.0
1855156.0,244452.0,526917.0,348931.0
2248762.0,244504.0,528493.0,357337.0
1338016.0,246272.0,526917.0,354243.0
1236634.0,246383.0,528493.0,354055.0
1895172.0,251651.0,526917.0,350358.0
2297454.0,253047.0,528493.0,352747.0
1254928.0,243760.0,526917.0,355377.0
1018120.0,256171.0,528493.0,351740.0
2538461.0,158913.0,526917.0,352896.0
1376680.0,246927.0,528493.0,343295.0
1218870.0,30401.0,537194.0,354040.0
1021015.0,253498.0,540347.0,346484.0
2360944.0,216257.0,547874.0,350468.0
1734758.0,253613.0,551141.0,352304.0
1498720.0,249491.0,559899.0,347661.0
