local,flowsim,ns3,m4
85371.0,4883.0,21068.0,24692.0
85349.0,4802.0,19640.0,24692.0
82415.0,4802.0,18212.0,24909.0
409607.0,4802.0,16784.0,27876.0
421570.0,4883.0,21068.0,24692.0
83948.0,4802.0,19640.0,24692.0
6020.0,4802.0,18212.0,24990.0
85260.0,4802.0,16784.0,27635.0
84188.0,4878.0,21068.0,24692.0
334666.0,4802.0,19640.0,24692.0
394339.0,4802.0,18212.0,24936.0
82416.0,4802.0,16784.0,27885.0
421250.0,4870.0,21068.0,24692.0
81202.0,4802.0,19640.0,24692.0
356606.0,4802.0,18212.0,24877.0
83827.0,4802.0,16784.0,24692.0
84588.0,4802.0,21068.0,24692.0
86072.0,4809.0,19640.0,24692.0
288327.0,4802.0,18212.0,24916.0
83006.0,4802.0,16784.0,24692.0
83167.0,4802.0,21068.0,24692.0
424776.0,4805.0,19640.0,24692.0
84909.0,4802.0,18212.0,24997.0
259983.0,4802.0,16784.0,24692.0
82585.0,4802.0,21068.0,24692.0
402383.0,4883.0,19640.0,24692.0
321539.0,4802.0,18212.0,25162.0
83716.0,4802.0,16784.0,24692.0
85210.0,4802.0,21068.0,24692.0
85250.0,4883.0,19640.0,24692.0
420968.0,4802.0,18212.0,25229.0
407253.0,4802.0,16784.0,24692.0
411010.0,4802.0,21068.0,24692.0
84759.0,4878.0,19640.0,24692.0
403626.0,4802.0,18212.0,25095.0
81984.0,4802.0,16784.0,24692.0
330877.0,4802.0,21068.0,24692.0
361695.0,4802.0,19640.0,24692.0
343461.0,4813.0,18212.0,24958.0
406140.0,4802.0,16784.0,24692.0
438772.0,4802.0,21068.0,24692.0
83577.0,4802.0,19640.0,24692.0
87124.0,4883.0,18212.0,25394.0
83928.0,4802.0,16784.0,24692.0
79830.0,4802.0,21068.0,24692.0
85892.0,4802.0,19640.0,24692.0
86722.0,4883.0,18212.0,27539.0
313123.0,4802.0,16784.0,24692.0
85782.0,4802.0,21068.0,24692.0
82676.0,4802.0,19640.0,24692.0
84558.0,4883.0,18212.0,25055.0
83506.0,4802.0,16784.0,27317.0
84539.0,4802.0,21068.0,24692.0
313204.0,4802.0,19640.0,24692.0
363179.0,4802.0,18212.0,24692.0
281935.0,4802.0,16784.0,24692.0
192094.0,4802.0,21068.0,24692.0
84849.0,4802.0,19640.0,24692.0
85390.0,4802.0,18212.0,24692.0
85871.0,4802.0,16784.0,24692.0
81322.0,4802.0,21068.0,24692.0
298697.0,4802.0,19640.0,24692.0
85611.0,4802.0,18212.0,24692.0
82766.0,4805.0,16784.0,24692.0
297756.0,4802.0,21068.0,24692.0
81393.0,4802.0,19640.0,24692.0
82466.0,4802.0,18212.0,27631.0
81694.0,4878.0,16784.0,24692.0
307602.0,4802.0,21068.0,24692.0
339514.0,4802.0,19640.0,24692.0
419.0,4802.0,18212.0,24692.0
85851.0,4883.0,16784.0,24692.0
83797.0,4802.0,21068.0,24692.0
85541.0,4802.0,19640.0,24692.0
341709.0,4802.0,18212.0,24692.0
82055.0,4883.0,16784.0,24692.0
90069.0,4802.0,21068.0,24692.0
83769.0,4802.0,19640.0,24692.0
85972.0,4802.0,18212.0,27788.0
83428.0,4802.0,16784.0,24692.0
296743.0,4802.0,21068.0,24692.0
420738.0,4802.0,19640.0,24692.0
85811.0,4802.0,18212.0,24692.0
82926.0,4813.0,16784.0,24692.0
351858.0,4809.0,21068.0,24692.0
85561.0,4802.0,19640.0,24692.0
86804.0,4802.0,18212.0,24692.0
308735.0,4802.0,16784.0,24692.0
83988.0,4878.0,21068.0,24692.0
371294.0,4802.0,19640.0,24692.0
218984.0,4802.0,18212.0,24692.0
322952.0,4802.0,16784.0,24692.0
353330.0,4883.0,21068.0,24692.0
334765.0,4802.0,19640.0,24692.0
313895.0,4802.0,18212.0,24692.0
85712.0,4802.0,16784.0,24692.0
83588.0,4802.0,21068.0,24692.0
423042.0,4802.0,19640.0,24692.0
82354.0,4802.0,18212.0,24692.0
175843.0,4802.0,16784.0,24692.0
83707.0,4802.0,21068.0,24692.0
85210.0,4813.0,19640.0,24692.0
83858.0,4802.0,18212.0,24692.0
173628.0,4802.0,16784.0,24692.0
408725.0,4802.0,21068.0,24692.0
383938.0,4813.0,19640.0,27310.0
86994.0,4802.0,18212.0,24692.0
82385.0,4802.0,16784.0,24692.0
83156.0,4802.0,21068.0,24692.0
317101.0,4883.0,19640.0,28185.0
84430.0,4802.0,18212.0,27608.0
265903.0,4802.0,16784.0,24692.0
83196.0,4802.0,21068.0,24692.0
88696.0,4883.0,19640.0,28613.0
85852.0,4802.0,18212.0,24692.0
83517.0,4802.0,16784.0,24692.0
85050.0,4802.0,21068.0,24692.0
373169.0,4883.0,19640.0,28920.0
86312.0,4802.0,18212.0,24692.0
83867.0,4802.0,16784.0,24692.0
86062.0,4802.0,21068.0,24692.0
347329.0,4883.0,19640.0,28907.0
88166.0,4802.0,18212.0,24692.0
282805.0,4802.0,16784.0,24692.0
315477.0,4802.0,21068.0,24692.0
350164.0,4802.0,19640.0,28877.0
87786.0,4802.0,18212.0,24692.0
337099.0,4802.0,16784.0,24692.0
85502.0,4802.0,21068.0,24692.0
85411.0,4802.0,19640.0,28831.0
82514.0,4809.0,18212.0,24692.0
81653.0,4802.0,16784.0,24692.0
193076.0,4802.0,21068.0,24692.0
358700.0,4802.0,19640.0,28802.0
281825.0,4883.0,18212.0,25383.0
83556.0,4802.0,16784.0,24692.0
82727.0,4802.0,21068.0,24692.0
355454.0,4802.0,19640.0,28754.0
85181.0,4883.0,18212.0,24692.0
81413.0,4802.0,16784.0,24692.0
84399.0,4802.0,21068.0,24692.0
81443.0,4802.0,19640.0,24692.0
83717.0,4802.0,18212.0,24692.0
84830.0,4802.0,16784.0,24692.0
